Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1861.0865	0.0	-1861.0865	-1861.0865	-2848.582	0.0	-2848.582	-2848.582	4000.0	4000.0	3999	-2.8131375	1.4644259	0.19851667	-6.861641	2.647238	0.0034887632	124.42673826217651
2	-1739.7738	0.0	-1739.7738	-1739.7738	-3029.5393	11.80532	-3018.363	-3050.06	4000.0	4000.0	7999	-5.8566117	2.049749	-2.0917463	-11.591118	5.6199856	0.005090885	273.09325885772705
3	-1875.5737	0.0	-1875.5737	-1875.5737	-2550.3801	0.00026744267	-2550.3796	-2550.3801	4000.0	4000.0	11999	-7.90688	2.3048594	-1.1583182	-13.871376	7.631257	0.005926165	417.3994286060333
4	-2734.7068	0.0	-2734.7068	-2734.7068	-3115.683	0.04408858	-3115.5547	-3115.717	4000.0	4000.0	15999	-9.018372	3.035415	4.9437947	-19.775694	8.764307	0.006124984	564.6296532154083
5	-2665.184	0.0	-2665.184	-2665.184	-2332.15	17.271936	-2289.4734	-2349.6074	4000.0	4000.0	19999	-11.369142	3.3029284	-2.6038103	-33.824406	11.102116	0.00647586	726.800701379776
6	-1967.7164	0.0	-1967.7164	-1967.7164	-157.78745	0.28921005	-157.2583	-158.11662	4000.0	962.4	23999	-13.924353	4.7607555	-4.070775	-34.238323	13.652277	0.0071034622	879.2081255912781
7	-1349.1082	0.0	-1349.1082	-1349.1082	-1701.764	0.25337705	-1701.4487	-1702.0663	4000.0	4000.0	27999	-15.29111	5.699346	-3.6253042	-35.65901	15.012035	0.009326636	1036.505781173706
8	-1048.6445	0.0	-1048.6445	-1048.6445	-34.381645	0.0	-34.381645	-34.381645	4000.0	170.0	31999	-15.329958	6.683397	-4.686518	-38.906647	15.024451	0.009937941	1115.6373913288116
9	-42.904457	7.41299	-35.59546	-54.95513	-159.46855	0.16000672	-159.41522	-159.94858	225.75	657.2	35999	-14.983473	6.8170223	-4.0814023	-40.870808	14.698451	0.015201948	1202.1867945194244
10	-1559.2284	0.0	-1559.2284	-1559.2284	-1613.2396	497.70184	-1003.697	-2029.7561	4000.0	4000.0	39999	-15.24481	7.1509285	-2.1433854	-42.081802	14.966136	0.013782694	1338.7716162204742
11	-777.62415	582.1288	-195.4953	-1359.7529	-569.9948	5.810792	-562.7278	-581.12335	2460.0	4000.0	43999	-14.900589	7.8282814	-1.3479006	-42.71319	14.587666	0.016449919	1458.8073298931122
12	-230.40091	324.60614	-41.280926	-879.0014	-1104.877	15.13857	-1086.7134	-1118.7402	1046.4	4000.0	47999	-13.62868	8.290426	-1.0803255	-46.8189	13.3190155	0.017756619	1595.5103559494019
13	-229.21019	360.91803	-18.17593	-854.3315	-597.68365	205.37912	-421.2138	-858.57556	1084.75	4000.0	51999	-12.708537	7.9953504	-0.060966134	-48.304	12.425932	0.018143438	1734.7710349559784
14	-731.4893	0.0	-731.4893	-731.4893	-585.0716	2.8399153	-580.638	-590.27686	4000.0	4000.0	55999	-12.118454	7.6782656	0.06828834	-46.667416	11.840455	0.019416776	1865.6718652248383
15	-99.2865	81.11647	-14.30893	-252.6044	-28.094501	1.9073486e-06	-28.0945	-28.0945	746.1667	180.0	59999	-11.270279	7.6990476	0.47352242	-45.947124	11.001981	0.019122228	1958.3059120178223
16	-83.211586	68.695816	-37.69609	-202.01646	-24.178944	1.9073486e-06	-24.178946	-24.178946	566.5	137.0	63999	-10.524307	7.734649	0.31209904	-45.88138	10.268478	0.020243991	2049.8219542503357
17	-119.430305	159.9499	-12.800673	-394.7014	-437.59198	3.0517578e-05	-437.592	-437.592	1010.25	4000.0	67999	-10.149475	7.707049	-0.36432981	-43.032635	9.917425	0.020177335	2188.4040248394012
18	-90.812546	146.42014	-21.753977	-525.9133	-447.84903	291.07318	-54.116768	-692.7279	527.4545	2587.6	71999	-9.708517	7.813035	-0.7236905	-40.72222	9.463494	0.019129097	2337.5329744815826
19	-33.916664	39.914574	-11.384256	-139.56543	-28.87852	0.29857427	-28.367949	-29.173378	183.375	193.0	75999	-9.141397	7.6840835	-0.5026683	-41.77799	8.914564	0.019304665	2485.2635204792023
20	-26.87022	43.68275	-11.275205	-260.34988	-39.152775	0.0	-39.152775	-39.152775	139.88235	215.0	79999	-8.837476	7.904923	0.5913125	-42.739414	8.614528	0.023068171	2645.503459215164
21	-23.271109	17.099607	-11.793628	-100.78162	-13.525442	9.536743e-07	-13.525443	-13.525443	111.5	52.0	83999	-8.551551	8.318081	0.53276134	-43.504	8.335065	0.024201538	2811.8187458515167
22	-23.498518	19.723982	-15.039906	-123.95633	-16.35078	1.9073486e-06	-16.350779	-16.350779	105.875	72.0	87999	-8.115358	8.477434	0.5731237	-44.22443	7.9060316	0.02069311	2984.1184363365173
23	-27.624935	36.14823	-11.409632	-201.72194	-623.7938	4.8064146	-615.65564	-634.01434	149.86667	4000.0	91999	-7.689296	8.473286	0.90395224	-44.21444	7.4738336	0.021334518	3198.915946483612
24	-41.552757	25.877945	-12.22792	-90.41492	-16.565704	1.8144892e-05	-16.565685	-16.565722	245.72728	83.0	95999	-7.389881	8.347392	0.8178836	-44.325817	7.184102	0.02480626	3378.2036995887756
25	-63.730885	314.29584	-11.447638	-2026.4569	-16.116947	1.9073486e-06	-16.11695	-16.11695	136.925	62.0	99999	-7.4698224	8.278703	0.99140954	-44.106556	7.261506	0.023953505	3560.470831155777
26	-12.663365	2.2162607	-11.089325	-19.962082	-11.382189	9.536743e-07	-11.38219	-11.38219	51.844154	44.0	103999	-7.398834	8.730614	1.2509501	-44.102654	7.1994486	0.02243033	3744.1113176345825
27	-12.275065	1.6397184	-11.171962	-21.844168	-11.533004	0.0	-11.533004	-11.533004	50.3875	45.0	107999	-7.2237887	9.186906	1.3952286	-47.816803	7.0224357	0.024342129	3929.573045015335
28	-12.219468	2.3035812	-11.230538	-25.780737	-11.159263	0.0	-11.159263	-11.159263	49.75	43.0	111999	-6.8630023	9.320362	1.6718981	-48.533314	6.660694	0.023188427	4117.554661035538
29	-12.873253	4.0242553	-10.938086	-39.449757	-11.111426	0.0	-11.111426	-11.111426	52.81579	43.0	115999	-6.638833	9.279818	1.4181254	-50.64585	6.45415	0.020728983	4308.132546901703
30	-16.115206	4.750418	-11.1760025	-38.584686	-40.58759	0.0	-40.58759	-40.58759	68.649124	215.0	119999	-6.5921574	9.189208	1.5606835	-52.212486	6.415275	0.0212657	4501.746942281723
31	-16.587345	10.836125	-11.19	-85.5913	-11.449747	9.536743e-07	-11.449748	-11.449748	78.11539	43.0	123999	-6.6170506	9.205456	1.5263562	-53.954346	6.4481444	0.021352677	4694.285984039307
32	-11.832821	1.0885675	-11.21042	-18.620735	-11.736083	0.0	-11.736083	-11.736083	46.252872	47.0	127999	-6.60714	9.186312	1.2846485	-55.55132	6.441622	0.021173878	4885.709583997726
33	-12.360175	2.5949655	-10.861355	-23.092667	-10.926261	0.0	-10.926261	-10.926261	50.72152	44.0	131999	-6.5109787	9.138367	1.3814085	-55.484467	6.3457003	0.021273402	5078.314961910248
34	-12.753629	3.8102393	-10.89867	-29.47182	-10.888277	0.0	-10.888277	-10.888277	53.851353	42.0	135999	-6.4190407	9.11043	1.4029441	-55.908176	6.253074	0.020577233	5271.65864777565
35	-12.891477	3.3573534	-10.759986	-25.120453	-13.900668	2.7142048e-06	-13.900668	-13.900677	55.40278	67.0	139999	-6.3570766	9.213015	1.3456688	-54.940365	6.203831	0.020449268	5465.898671627045
36	-12.436963	2.0314324	-10.949565	-20.52421	-11.72503	0.0	-11.72503	-11.72503	52.842106	48.0	143999	-6.297963	9.305565	2.027542	-54.99031	6.1438084	0.021536693	5661.522588253021
37	-11.6068735	1.5815365	-10.845169	-19.437859	-11.076285	0.0	-11.076285	-11.076285	46.639534	43.0	147999	-6.2604856	9.403985	2.0293062	-57.913963	6.1135945	0.020670203	5857.346143722534
38	-11.796118	1.2528021	-10.965985	-17.975344	-11.035127	0.0	-11.035127	-11.035127	46.611763	43.0	151999	-6.093048	9.23586	1.3121663	-60.42052	5.938906	0.021233711	6054.131041765213
39	-12.050659	1.8798728	-11.01682	-22.467113	-11.88093	9.536743e-07	-11.880931	-11.880931	48.277107	45.0	155999	-5.92324	9.10544	3.3027658	-60.891052	5.775657	0.021439485	6251.856887340546
40	-12.245227	1.4797565	-10.942076	-16.408512	-11.013336	0.0	-11.013336	-11.013336	51.46154	43.0	159999	-5.922977	9.046797	3.493198	-60.91889	5.7878537	0.020925758	6451.377848148346
41	-11.45984	1.156147	-10.852302	-18.596151	-11.348372	0.0	-11.348372	-11.348372	44.633335	43.0	163999	-5.9610314	8.974017	5.482141	-59.89554	5.826823	0.019966256	6650.848941326141
42	-13.852327	8.854533	-11.075257	-75.271774	-11.387671	0.0	-11.387671	-11.387671	53.306667	43.0	167999	-5.7830925	8.932319	9.446197	-61.91779	5.6473384	0.0216869	6851.974977493286
43	-11.506117	0.6900982	-10.905688	-15.900826	-11.151462	9.536743e-07	-11.151463	-11.151463	43.846153	42.0	171999	-5.777461	8.95336	9.811595	-60.99074	5.647973	0.020451967	7053.618434429169
44	-11.693787	1.2136122	-10.9582815	-18.211657	-10.970038	0.0	-10.970038	-10.970038	45.30682	42.0	175999	-5.7409825	8.903424	8.228675	-60.118717	5.6112423	0.021632064	7255.042689323425
45	-11.204445	0.6699176	-10.760777	-15.729852	-11.113738	0.0	-11.113738	-11.113738	43.326088	44.0	179999	-5.6680245	8.6890545	11.904442	-60.674427	5.5404735	0.02215589	7457.168009519577
46	-12.210553	4.8476033	-10.862697	-55.416904	-10.942339	9.536743e-07	-10.94234	-10.94234	49.851852	42.0	183999	-5.580885	8.577238	13.474559	-62.26496	5.454878	0.021118665	7661.035216331482
47	-11.767224	1.9949776	-10.947811	-23.989916	-10.992182	9.536743e-07	-10.992183	-10.992183	46.717648	42.0	187999	-5.5759945	8.568895	11.927766	-62.701675	5.4529405	0.020330356	7865.542259931564
48	-11.306253	0.5216497	-10.997385	-16.038034	-10.877746	0.0	-10.877746	-10.877746	43.423912	42.0	191999	-5.48951	8.608614	10.488432	-65.32944	5.3655553	0.020341149	8070.097859621048
49	-12.660125	8.18762	-10.87831	-75.21684	-10.849164	9.536743e-07	-10.849163	-10.849163	52.22078	41.0	195999	-5.330909	8.5694685	9.184329	-65.81106	5.206843	0.01936044	8275.057193517685
50	-11.659569	1.3082188	-10.916146	-16.753273	-11.557843	9.536743e-07	-11.557842	-11.557842	45.770115	44.0	199999	-5.2712493	8.423358	8.392821	-67.79934	5.1518106	0.018109737	8480.815237522125
51	-12.04489	1.6814803	-10.97593	-19.167374	-15.738409	1.9073486e-06	-15.738411	-15.738411	48.0	72.0	203999	-5.229089	8.373554	6.913758	-69.43713	5.1183515	0.018277273	8687.86382818222
52	-12.332396	7.210722	-10.906035	-74.98524	-11.2997	9.536743e-07	-11.299701	-11.299701	51.597404	43.0	207999	-5.2755594	8.409258	1.4630836	-68.253525	5.1629667	0.018162308	8895.017468690872
53	-11.824502	1.7234576	-10.958176	-21.694164	-10.947601	0.0	-10.947601	-10.947601	46.195404	42.0	211999	-5.210888	8.226291	3.08699	-68.59986	5.0924525	0.01985704	9103.058221578598
54	-13.56791	13.061019	-10.893848	-120.95256	-10.992353	9.536743e-07	-10.9923525	-10.9923525	56.366196	42.0	215999	-5.0170054	8.048598	3.6840298	-68.99175	4.900262	0.019954655	9310.976879358292
55	-12.396793	2.5140936	-10.87411	-22.5135	-10.861357	0.0	-10.861357	-10.861357	52.012985	42.0	219999	-5.0251	8.00703	1.7521045	-70.2589	4.9219637	0.019271143	9518.77472114563
56	-11.515319	2.1205015	-10.792484	-25.839542	-11.08301	0.0	-11.08301	-11.08301	45.40698	42.0	223999	-5.1366587	8.144449	1.6733861	-73.21998	5.038949	0.0195801	9728.302701234818
57	-11.563142	1.6729498	-10.822625	-20.937725	-11.063309	0.0	-11.063309	-11.063309	45.27778	42.0	227999	-5.2748046	8.532338	1.4779835	-73.37692	5.179557	0.019953176	9938.808495283127
58	-11.9476185	2.0692554	-10.886949	-21.115627	-11.708399	0.0	-11.708399	-11.708399	47.5	45.0	231999	-5.3435926	8.717041	1.4226384	-72.52884	5.2400594	0.02099263	10149.142761468887
59	-12.197875	1.9868423	-10.980873	-19.247461	-17.269657	1.9073486e-06	-17.269659	-17.269659	49.333332	86.0	235999	-5.112614	8.3127575	1.3652656	-71.502655	5.005865	0.02110915	10359.198777198792
60	-12.233648	2.2495244	-10.914832	-22.617813	-10.95105	0.0	-10.95105	-10.95105	49.666668	41.0	239999	-5.115836	8.048647	1.3721216	-70.598114	5.0189943	0.020476012	10570.559460878372
61	-11.54731	1.1603901	-11.031864	-18.292044	-11.102747	9.536743e-07	-11.102748	-11.102748	44.988766	42.0	243999	-5.1123085	8.024212	1.3845611	-69.93319	5.012818	0.020802116	10782.206021547318
62	-12.102509	1.8254842	-11.153424	-22.260239	-11.365979	9.536743e-07	-11.365978	-11.365978	49.197533	44.0	247999	-4.9927936	7.9323025	1.8601308	-69.88716	4.892367	0.019665563	10994.404261112213
63	-13.033899	2.5583248	-11.306192	-22.237255	-11.476773	9.536743e-07	-11.476772	-11.476772	54.9863	44.0	251999	-4.960465	7.944228	1.9494528	-70.87477	4.8639617	0.020537801	11206.634686470032
64	-12.864509	3.5095205	-11.283956	-38.840908	-11.411072	0.0	-11.411072	-11.411072	53.02667	44.0	255999	-4.9572387	7.9297543	2.0522957	-72.76015	4.8608484	0.02225537	11420.31314253807
65	-12.154403	1.3652626	-11.402554	-19.606949	-17.761274	0.0	-17.761274	-17.761274	48.0	88.0	259999	-4.8969917	7.636303	3.4276752	-71.35973	4.7984385	0.02112966	11635.029705047607
66	-21.20479	31.584032	-11.567563	-222.032	-11.802408	9.536743e-07	-11.802409	-11.802409	93.977776	46.0	263999	-4.8141723	7.5431414	5.5653114	-69.476944	4.710307	0.021765439	11848.753769159317
67	-17.303802	15.0757475	-12.131961	-111.42365	-12.413073	0.0	-12.413073	-12.413073	86.93617	50.0	267999	-4.6064644	7.254807	4.160014	-64.988914	4.503753	0.019675458	12062.191381931305
68	-14.717806	2.5719702	-12.157402	-23.143236	-12.620863	0.0	-12.620863	-12.620863	63.412697	51.0	271999	-4.6449323	7.248524	3.3356762	-66.22643	4.553927	0.023308845	12277.40642786026
69	-13.11557	0.7589666	-11.27573	-15.582637	-11.200431	0.0	-11.200431	-11.200431	55.958332	43.0	275999	-4.78577	7.468546	1.4086652	-71.03557	4.696011	0.025374671	12493.052921056747
70	-12.040844	1.905482	-10.906011	-21.131691	-11.2028885	0.0	-11.2028885	-11.2028885	47.91566	42.0	279999	-4.923075	7.697427	2.3399925	-74.64457	4.8386946	0.025117556	12708.093352794647
71	-11.695343	1.3653584	-11.008042	-18.407286	-11.475393	9.536743e-07	-11.475392	-11.475392	45.488636	43.0	283999	-5.023763	8.003953	2.243906	-81.82138	4.937463	0.02642831	12923.621861219406
72	-11.6144495	0.956331	-11.108039	-16.261549	-11.433174	0.0	-11.433174	-11.433174	45.05618	45.0	287999	-4.899669	7.780852	3.7706432	-82.04473	4.800162	0.025949748	13139.15382027626
