Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
30	-30.203875	31.595682	-3.0479655	-137.47296	-13.3342	11.34597	-2.9902036	-39.233353	150.88461	91.0	119999	-4.932729	6.74731	3.431236	-47.854233	4.7137895	0.029864425	7518.753158330917
31	-29.135326	27.876276	-2.4426658	-100.517624	-36.5186	33.742493	-6.0895333	-94.80261	158.82608	231.7	123999	-4.807565	6.524913	2.874404	-45.100662	4.5956287	0.027947165	7899.326770782471
32	-17.749382	19.643047	-2.2938087	-99.94808	-10.531608	6.990748	-1.6294124	-25.210964	94.276596	49.4	127999	-4.831926	6.240331	2.0181837	-43.353912	4.624165	0.029567594	8279.963550329208
33	-13.963161	13.443733	-2.2437851	-91.158615	-15.7380295	11.5181055	-3.0623932	-46.698856	70.666664	107.7	131999	-4.609797	6.0315723	2.8619704	-40.32582	4.3915424	0.030879768	8664.820347309113
34	-20.662943	28.177496	-2.0501208	-160.76161	-12.31888	8.919934	-2.2786841	-25.99442	96.38461	66.7	135999	-4.4859667	5.9397964	2.4837396	-37.375217	4.287032	0.030105604	9049.692164182663
35	-20.946688	27.352428	-2.5861704	-161.88794	-24.210215	22.209867	-2.2343724	-82.48681	97.068184	131.3	139999	-4.5870886	5.7483134	2.6700075	-38.245266	4.3966007	0.029183464	9437.505929231644
36	-13.019697	11.0855665	-1.791599	-67.76125	-7.4620132	3.4136972	-2.6357193	-14.822995	58.516666	38.8	143999	-4.608977	5.6456685	3.1902738	-37.44537	4.415158	0.02993164	9826.841702461243
37	-13.173918	17.618517	-1.6814711	-146.6236	-6.7509627	5.212005	-1.7126797	-20.902431	56.240505	30.6	147999	-4.573141	5.8069143	2.849569	-37.880646	4.388379	0.028833179	10216.49223279953
38	-11.47852	9.563396	-1.422805	-47.4306	-26.196701	22.315592	-1.3849268	-69.58014	49.923077	140.9	151999	-4.6320777	6.003029	1.9785421	-37.30658	4.44622	0.029986084	10610.13882946968
39	-12.469866	10.494588	-2.0521033	-49.71986	-9.065512	6.412645	-3.0286558	-27.061705	61.02941	40.7	155999	-4.509039	5.953665	4.241411	-35.50327	4.3221707	0.02978171	11002.224981307983
40	-12.701185	11.754238	-2.3555672	-61.517246	-28.060888	47.161407	-2.2875445	-152.58443	57.157143	124.8	159999	-4.5309415	6.0436287	4.3794503	-37.39962	4.3601046	0.029052427	11398.360158443451
41	-14.240349	14.581191	-1.4896191	-63.68842	-16.10585	7.450697	-3.961929	-27.64704	73.74074	73.5	163999	-4.6634936	6.0669794	4.7349834	-36.875893	4.4915743	0.03171979	11793.915005683899
42	-15.02318	14.393851	-2.3039956	-99.935585	-31.453403	50.044327	-2.9308345	-154.23415	63.57143	133.3	167999	-4.551157	5.9228487	5.403597	-37.49646	4.37317	0.031088691	12191.850482702255
