Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
30	-16.638878	19.731808	-2.1116621	-130.56439	-16.052862	6.273033	-3.539048	-26.141476	74.433334	70.9	119999	-5.8916407	7.2741065	1.6005404	-69.27367	5.705357	0.02845649	3791.5217440128326
31	-12.4394	8.706853	-2.2943928	-40.816822	-14.19206	9.755949	-3.3501527	-29.85306	52.092106	54.5	123999	-5.9054775	7.266536	1.5758703	-66.730705	5.719274	0.032065533	3989.5098526477814
32	-13.745472	17.288803	-1.8888484	-143.5837	-28.9735	31.554905	-4.6074295	-115.42381	54.9863	128.8	127999	-5.783763	7.236411	1.3136296	-66.940025	5.597673	0.03193884	4177.575112581253
33	-15.376729	12.953424	-2.7313032	-86.26839	-11.368788	9.5939865	-2.5534825	-28.141636	64.241936	45.6	131999	-5.576102	7.0948286	1.3983117	-67.34534	5.383325	0.032405414	4365.927659273148
34	-12.804803	8.817081	-2.0027304	-35.67821	-17.20022	15.098597	-3.7066162	-54.49747	51.474358	94.4	135999	-5.288799	6.8455305	2.2915838	-62.159744	5.100517	0.026807882	4556.175112962723
35	-14.980436	26.747139	-2.3633325	-227.89273	-14.94562	6.1741023	-6.1850796	-28.374353	53.873238	56.3	139999	-5.1502976	6.700594	5.826149	-51.752354	4.97317	0.03124495	4747.186693906784
36	-19.156942	25.225998	-1.9381487	-137.5343	-19.271093	21.656895	-3.2795117	-79.12811	70.71186	97.2	143999	-5.1874046	6.719779	2.408759	-51.13426	5.020819	0.030290812	4939.212698221207
37	-13.316422	8.276466	-2.4807339	-36.403767	-14.7812605	7.5225883	-3.2513263	-26.444368	53.780823	54.3	147999	-5.285617	6.761043	1.2222707	-52.043022	5.122211	0.029927256	5131.420282125473
38	-11.872223	7.62247	-2.433106	-32.80497	-19.587334	7.4210305	-6.2493896	-29.039757	48.294117	66.7	151999	-5.2681317	6.759504	2.1494513	-52.00535	5.0952787	0.034149602	5326.558938026428
39	-13.261152	9.646226	-2.2922745	-36.740364	-17.654829	21.197514	-3.3859386	-78.232834	51.753246	87.5	155999	-4.9890804	6.5630727	3.9355943	-49.861332	4.8178215	0.036074392	5525.721229314804
40	-10.84861	6.7780423	-2.257002	-27.473932	-9.095646	4.95178	-3.8753738	-19.398573	44.511112	39.1	159999	-4.9025674	6.457905	1.7188984	-53.441536	4.7405562	0.034415275	5722.904410600662
