Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-280.0648	89.729454	-122.47692	-357.6963	-109.33806	69.885826	-9.250411	-231.93166	500.0	370.8	3999	-3.897295	1.9304155	0.15734717	-9.548133	3.771456	0.00414215	60.37157964706421
2	-259.90448	83.98038	-141.92476	-376.5992	-334.2639	120.255424	-2.3194501	-432.4029	500.0	451.6	7999	-8.697533	3.450518	-0.8974712	-18.239267	8.431324	0.011235264	138.96842622756958
3	-277.93433	130.02142	-4.274163	-489.7066	-391.9157	126.18584	-237.60829	-624.0625	440.0	500.0	11999	-3.6968615	10.098473	51.52428	-19.503263	2.1403003	0.3382891	219.54426288604736
4	-315.19208	29.390917	-258.03458	-362.30637	-321.15778	28.733671	-276.9889	-359.59116	500.0	500.0	15999	20.6177	17.97705	75.64764	-13.413291	-22.352213	0.45763108	301.71542954444885
5	-313.90204	44.339893	-252.38301	-367.39557	-311.02142	30.975904	-263.86642	-359.30215	500.0	500.0	19999	31.65	18.835817	83.12598	-15.9787855	-32.69285	0.26869366	384.4582076072693
6	-321.84613	35.356243	-282.62415	-406.84818	-315.15717	36.983295	-254.26817	-383.52774	500.0	500.0	23999	32.17145	16.245556	72.83113	-15.6188965	-32.80178	0.15762264	471.2663550376892
7	-282.57758	167.13222	-4.9252596	-509.55502	-281.67255	67.8237	-208.52124	-461.31677	385.45456	500.0	27999	27.439852	13.027892	64.03722	-11.614075	-28.092516	0.15487869	576.1602253913879
8	-187.25836	92.74814	-35.711987	-382.12643	-156.31223	57.18262	-41.91356	-210.4354	460.8889	438.0	31999	21.548817	10.23184	58.737232	-12.528402	-22.065023	0.20421042	672.547824382782
9	-245.4422	34.212498	-193.24928	-314.33362	-171.56157	129.01099	-13.782428	-349.238	500.0	341.2	35999	16.040562	8.665929	47.130802	-14.904596	-16.515184	0.13043177	756.2766540050507
10	-214.92038	61.121326	-94.14881	-293.04922	-196.7123	123.941055	-4.631514	-409.3731	500.0	452.6	39999	10.196701	8.186615	38.24618	-19.7907	-10.5693865	0.08106994	838.4786548614502
11	-102.40767	73.3064	-6.365057	-280.0971	-394.58124	213.4728	-93.56756	-669.95703	364.45456	500.0	43999	5.203876	8.927852	34.84733	-27.098848	-5.5607686	0.08294813	922.5124034881592
12	-197.07555	188.938	-2.5264082	-563.22485	-109.99272	57.735928	-4.200823	-224.85794	381.1	421.6	47999	1.3737414	9.556822	30.099983	-27.589008	-1.7492468	0.080268525	1005.9140861034393
13	-140.37816	117.561	-5.131869	-445.51343	-101.19568	99.775635	-6.2304263	-287.35947	412.9	320.6	51999	-2.035487	10.303097	23.782143	-39.28128	1.7252165	0.07655093	1091.4510476589203
14	-110.44455	118.14588	-2.9218671	-388.0906	-80.983444	41.00493	-11.3511305	-144.84329	343.25	413.9	55999	-5.6120515	11.175183	19.284744	-44.89463	5.3190594	0.060526885	1180.354861497879
15	-95.6458	60.475433	-3.7384462	-226.18431	-83.56251	50.994072	-3.5577261	-142.96968	394.7	364.8	59999	-8.069616	11.707729	14.198651	-51.870003	7.762672	0.058723774	1278.192402124405
16	-66.388985	45.559555	-8.23021	-128.84343	-94.91086	28.823027	-28.85595	-139.0208	313.83334	463.5	63999	-9.45558	12.187162	10.076993	-64.20767	9.145281	0.054711107	1387.9275479316711
17	-68.57261	48.917717	-3.9657383	-150.47478	-83.243034	65.15812	-7.3152375	-185.63612	327.41666	320.7	67999	-10.376954	12.351676	6.7829323	-70.06654	10.083949	0.05131733	1511.9353306293488
18	-68.2946	49.543816	-15.75172	-199.6157	-74.97833	52.96311	-5.814389	-156.32341	312.07144	324.0	71999	-11.294575	12.656402	3.8334846	-75.35638	11.003567	0.05140673	1647.7917807102203
19	-63.12365	46.070652	-3.3963122	-138.58334	-61.625904	47.88544	-3.6318038	-142.5284	283.92856	283.9	75999	-11.718595	12.836554	3.0124178	-78.521545	11.430418	0.050048225	1809.5928707122803
20	-71.5939	50.393654	-12.542766	-180.34485	-52.588642	45.106003	-2.9948459	-113.66963	315.66666	249.7	79999	-11.954109	12.622067	1.8318667	-81.59435	11.676029	0.05530843	1981.3670370578766
21	-48.076363	48.2538	-4.219073	-179.56104	-101.01694	102.53759	-3.4952524	-325.7892	196.0	311.2	83999	-12.245052	12.546385	0.97781146	-83.70611	11.9739065	0.054639466	2149.807335138321
22	-46.71681	67.6893	-1.8666496	-312.44354	-33.37293	28.397171	-4.3092494	-97.515144	172.79167	177.3	87999	-12.508572	12.790637	1.3606659	-88.85971	12.237811	0.06405532	2316.96905374527
23	-30.956997	23.447998	-3.2071412	-104.0678	-42.85012	37.823982	-3.9126506	-122.84422	143.3793	175.1	91999	-12.274539	12.74452	2.5372915	-89.356606	11.996988	0.073394015	2499.22859954834
24	-20.604975	15.553688	-1.8179293	-105.742874	-11.25158	12.115774	-3.693687	-44.249294	78.039215	46.2	95999	-11.68204	12.441825	2.4110427	-87.8937	11.385362	0.07895857	2687.505622148514
25	-15.577073	13.35971	-2.5939567	-74.52255	-15.868044	8.534418	-4.325657	-28.09015	64.53226	59.9	99999	-10.874185	12.130218	2.4410882	-86.50038	10.582221	0.074061185	2884.717078924179
26	-17.00951	26.473251	-1.9377851	-161.40337	-31.06489	41.540836	-4.38379	-117.109535	70.42105	137.6	103999	-10.250137	12.016267	2.5352182	-84.48736	9.977781	0.068806686	3082.519717693329
27	-19.915442	27.7571	-2.5560684	-106.40828	-17.133907	14.839544	-2.1902344	-55.952377	91.975	67.2	107999	-9.802188	11.947821	1.9545805	-85.44928	9.533785	0.06622887	3281.794688463211
28	-34.07818	36.48728	-2.100708	-135.37535	-31.742914	43.621452	-4.1617794	-133.2231	143.93103	137.3	111999	-9.5513525	11.628389	1.3107586	-81.82085	9.305445	0.06567274	3488.6328978538513
29	-16.076103	14.2691145	-2.0180857	-94.1289	-14.264806	9.839487	-2.4264076	-27.507248	64.125	48.3	115999	-9.57228	11.244474	1.5413158	-77.7617	9.332721	0.0673557	3693.0282967090607
30	-17.96745	23.834757	-1.6572226	-175.7813	-13.803714	9.776117	-2.6688006	-30.588722	68.15254	45.8	119999	-9.336343	11.018036	1.2838032	-79.2708	9.0898905	0.065067954	3912.88627076149
31	-13.175874	10.8958025	-1.2543155	-65.132484	-16.695782	12.152027	-3.4360378	-45.143497	51.53846	54.4	123999	-9.067856	10.837601	2.797089	-77.76305	8.825976	0.060109787	4125.754031181335
32	-17.289455	15.188614	-1.8097509	-80.674614	-11.795672	8.833961	-2.0084045	-29.318123	76.82692	49.9	127999	-8.851312	10.7565365	2.8804734	-78.91361	8.625261	0.061397575	4337.907603979111
33	-16.172417	15.23223	-1.3421478	-98.12943	-14.0097475	11.042041	-1.6760051	-31.222149	63.61905	48.1	131999	-8.802619	10.811959	3.6692073	-77.91127	8.583226	0.06014298	4548.680555820465
34	-13.968189	15.331396	-1.3581455	-96.270966	-25.115528	17.85588	-9.0415125	-75.91532	59.895523	112.1	135999	-8.697499	10.649447	3.1963396	-75.61785	8.487143	0.061723277	4759.705678701401
35	-28.35834	34.797935	-1.3526428	-129.57547	-17.856184	21.101656	-1.2178291	-75.73329	129.12903	89.8	139999	-8.710262	10.924645	2.4698234	-80.675255	8.507464	0.062009726	4972.190103054047
36	-14.587334	9.588646	-1.7001746	-32.609806	-17.882818	7.434737	-5.253081	-29.703306	55.239437	59.1	143999	-8.728581	11.226909	2.2875366	-85.92601	8.526596	0.06274943	5173.765598058701
37	-12.845184	9.948714	-1.5452219	-41.16756	-23.502827	23.563084	-2.3109627	-83.031715	48.642857	108.8	147999	-8.568433	11.34025	1.7762197	-89.076584	8.356861	0.06446847	5391.720693826675
38	-16.251192	12.274881	-2.0265841	-47.70192	-17.736979	19.993412	-2.5246167	-70.337975	63.64516	87.5	151999	-8.29556	11.341302	1.7933097	-93.04658	8.086265	0.0609452	5633.980968236923
39	-15.210886	28.145197	-1.6491218	-239.48553	-19.189594	11.571712	-4.5563903	-37.586018	52.68421	75.3	155999	-8.151895	11.406656	1.5705963	-92.08468	7.9569774	0.06005806	5832.068518638611
40	-14.345474	10.533421	-1.6615007	-39.12127	-15.177759	16.032242	-1.9134924	-56.27259	57.685715	64.8	159999	-8.22762	11.713837	1.8002095	-94.71653	8.042033	0.064212374	6030.497023820877
41	-15.944674	12.749209	-1.6490095	-81.13629	-36.394466	30.655333	-3.0641394	-86.07294	63.0	193.2	163999	-8.238102	11.92196	1.476495	-101.0475	8.050423	0.06458887	6230.624625205994
