Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-616.3222	89.314224	-467.13596	-691.2734	931.25	-0.24054246	0.057260673	-0.14404748	-0.39528406	4000	-0.008379158	3588.341	0.0	-925.2295	0.91894394	-5.4240226e-09	11.89587688446045
1	-624.647	74.01875	-497.53778	-680.98346	947.5	-8.988399	0.0611745	-8.79905	-9.067302	8000	-0.028384846	2680.0637	0.0	-530.9673	0.91894263	-3.4570693e-09	21.315001249313354
2	-631.2	12.979538	-612.7144	-648.3791	1000.0	-14.54349	0.46288127	-10.957152	-14.739931	12000	0.0037717437	1972.0021	0.0	-400.29407	0.91882575	-5.066395e-09	30.68649983406067
3	-627.44965	6.0387983	-618.5158	-635.52405	1000.0	-19.605629	0.09262412	-18.913284	-19.64222	16000	0.030563517	1561.3218	0.0	-321.92212	0.91875523	-4.7683715e-09	39.724825620651245
4	-623.8136	12.953597	-602.2342	-636.6318	1000.0	-24.152824	0.004702487	-24.119057	-24.157528	20000	-0.035422187	1214.4629	0.0	-261.38617	0.91874284	3.4570693e-09	48.4413959980011
5	-614.0587	32.62375	-558.05634	-638.14386	964.5	-28.328613	0.0042914767	-28.301968	-28.333838	24000	0.04288923	1027.4305	0.0	-215.11206	0.9187007	3.5762786e-09	57.317403078079224
6	-631.69244	8.495676	-618.74695	-639.3115	1000.0	-32.1997	0.047905594	-31.785486	-32.216408	28000	-0.030845184	791.0593	0.0	-186.5155	0.91870326	1.7881394e-10	65.7165994644165
7	-634.98773	2.8640819	-631.23004	-638.58954	1000.0	-35.912758	0.00461585	-35.883545	-35.91767	32000	-0.015963692	630.0619	0.0	-154.1517	0.91867596	7.7486035e-09	74.13469386100769
8	-622.8179	8.106832	-611.7977	-631.5082	1000.0	-39.35311	0.065644756	-38.94448	-39.37384	36000	-0.033200074	441.17453	0.0	-110.804016	0.9186404	-7.390976e-09	82.48992276191711
9	-632.1023	2.8061612	-627.6643	-634.576	1000.0	-42.388367	0.010146657	-42.317173	-42.393444	40000	0.037883498	361.56073	0.0	-94.15372	0.9185827	-1.2516975e-09	90.88444781303406
10	-630.3733	9.818341	-616.87524	-639.8756	1000.0	-45.238243	0.0016045432	-45.232475	-45.24002	44000	-0.01283784	263.59695	0.0	-71.17226	0.9185591	-6.9737434e-09	99.42071175575256
11	-625.69354	5.7671633	-615.9075	-630.0974	1000.0	-47.78792	0.0068154465	-47.717308	-47.791054	48000	0.030203914	186.40903	0.0	-50.63687	0.91853034	5.543232e-09	107.86709475517273
