Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-290.06473	69.461174	-139.1059	-375.6411	-329.2296	64.50751	-201.08325	-405.10352	500.0	500.0	3999	-3.9780903	1.7560638	0.1697638	-9.201774	3.7692842	0.0027605281	102.67576694488525
2	-271.5434	94.240875	-116.61908	-381.74268	-324.82657	86.04217	-183.875	-500.60986	500.0	500.0	7999	-8.420676	2.8271122	-0.62228286	-17.750147	8.096835	0.006900228	235.84959077835083
3	-296.98447	59.174347	-184.62268	-420.89966	-241.71596	39.048542	-175.22058	-304.44067	500.0	500.0	11999	-9.695626	5.110712	12.30898	-22.027246	9.219228	0.01099788	370.7462544441223
4	-220.80484	76.78602	-2.9139404	-313.24182	-219.74368	109.48224	-11.50592	-386.8225	464.16	442.46667	15999	-8.868965	5.5123367	5.440809	-27.53947	8.456103	0.010703282	508.9123296737671
5	-168.3298	80.95133	-22.45935	-311.14868	-175.02023	65.37059	-5.8583984	-319.66602	456.48	468.46667	19999	-8.821121	4.895744	5.328795	-32.956036	8.398865	0.01114503	646.451676607132
6	-177.23198	96.34665	-7.359375	-395.55347	-184.63507	65.20843	-53.792908	-359.07422	423.68967	481.2	23999	-8.973937	5.441575	12.516808	-42.67862	8.57941	0.015582809	787.5353746414185
7	-176.23344	74.35876	-37.798218	-311.52002	-174.11049	89.67487	-16.267822	-419.3413	476.08	470.8	27999	-9.405508	6.542667	13.5318	-47.834568	9.063272	0.015752356	925.4888792037964
8	-156.4736	80.17787	-4.9317627	-317.4297	-168.40605	62.7391	-23.372742	-258.86328	437.92593	466.73334	31999	-9.63055	6.8743987	13.161656	-51.72076	9.288097	0.014744665	1063.35546708107
9	-146.44362	91.41096	-3.9622192	-387.97363	-195.49893	69.855934	-34.064026	-309.24915	410.36667	464.33334	35999	-9.957935	7.056011	6.3953757	-56.89538	9.632702	0.01646694	1200.9706740379333
10	-117.15762	77.07008	-4.9957886	-250.45569	-117.66221	98.824066	-10.878967	-265.5581	381.125	338.46667	39999	-9.9900675	7.426843	4.7203617	-57.91546	9.642728	0.018041378	1338.2028329372406
11	-103.59934	74.8865	-5.38562	-251.7721	-87.46436	81.47824	-4.6625366	-231.9602	354.42426	282.13333	43999	-9.527137	7.2586827	6.058638	-55.948994	9.201053	0.018427731	1477.24360871315
12	-69.16918	61.180084	-6.9907837	-218.79297	-83.170654	75.72638	-10.45813	-315.5551	285.69766	330.93332	47999	-9.373163	7.3305078	5.602158	-61.092648	9.069107	0.01877229	1619.562062740326
13	-58.93584	60.836098	-3.2199097	-324.35303	-60.789104	49.875553	-3.1261597	-134.41882	253.63043	291.66666	51999	-9.158238	7.6767216	4.6807065	-65.26527	8.854902	0.019379068	1764.2932863235474
14	-54.3961	55.93108	-3.6275024	-280.20117	-28.623905	33.273094	-4.676697	-138.0802	242.87755	123.8	55999	-8.557034	7.9493437	4.504014	-64.520706	8.244552	0.019925054	1907.6898565292358
15	-52.25987	47.133423	-3.815979	-184.93335	-51.364487	60.66369	-4.0392456	-246.53076	228.25	247.06667	59999	-7.8927097	7.888334	4.999179	-67.1831	7.5865774	0.020248178	2055.130883693695
16	-62.298428	76.70456	-3.7068481	-359.67505	-57.91607	62.228653	-3.2926025	-187.16602	227.38182	233.6	63999	-7.3320746	7.3731084	6.122564	-69.9911	7.045345	0.020727072	2206.3417830467224
17	-37.21	39.57108	-2.1784668	-178.05493	-22.247583	33.46302	-2.9933472	-140.72351	166.20833	80.6	67999	-7.165854	7.4032106	3.504024	-69.15155	6.88903	0.020207116	2369.7977278232574
18	-32.42356	38.887154	-1.7783203	-170.20526	-30.491732	27.058535	-3.178833	-98.93176	149.09639	165.06667	71999	-6.809683	7.404646	3.6324158	-70.68289	6.528018	0.020619899	2558.6178550720215
19	-25.97143	29.227287	-2.442505	-176.29724	-23.327791	26.713923	-3.8260498	-117.16437	124.336845	101.13333	75999	-6.4021525	7.2008123	4.0780234	-77.39076	6.1329126	0.021689745	2757.794803380966
20	-25.542452	30.99215	-2.166687	-160.47351	-37.030136	56.278225	-3.1204224	-182.1903	127.189476	137.53334	79999	-6.2214746	7.026346	4.886721	-80.35147	5.9750724	0.022401512	2967.865530014038
21	-26.438662	35.70312	-2.1357422	-287.75415	-18.042969	23.327028	-2.4936523	-82.59515	105.849556	95.666664	83999	-6.2004433	7.0210276	9.502905	-83.18953	5.9515553	0.024275893	3185.719372987747
22	-24.276894	28.3462	-2.154663	-159.60303	-12.867351	8.946423	-3.2688599	-29.53833	114.72115	55.333332	87999	-6.018998	6.996975	9.859163	-81.121994	5.778488	0.023443036	3408.4564847946167
23	-25.762	33.55191	-2.260254	-174.76807	-18.669893	24.748766	-2.2653198	-80.30835	114.50944	103.333336	91999	-5.925819	6.96402	9.781437	-84.59632	5.690904	0.023764325	3630.3788957595825
24	-20.861677	21.792095	-2.1015625	-110.307495	-16.777401	19.003332	-3.711609	-76.975586	95.76423	91.86667	95999	-5.840603	7.094781	11.195269	-89.83444	5.610958	0.02477712	3858.3443257808685
25	-17.012728	21.88049	-2.828186	-212.77167	-13.234139	9.4168005	-2.1123657	-31.888428	75.91358	59.466667	99999	-5.6698565	7.136329	15.886218	-91.80488	5.4406633	0.02690302	4088.5105872154236
26	-17.904676	18.343246	-2.168579	-139.50635	-24.024675	27.978008	-3.2402344	-107.40851	75.58491	116.73333	103999	-5.5264583	6.9432755	16.251781	-87.70822	5.3033752	0.025425704	4324.559829235077
27	-20.322208	27.796608	-1.7676392	-203.43945	-15.683655	16.271986	-4.763489	-73.14795	87.04444	90.066666	107999	-5.3606687	6.9547086	12.374351	-88.51611	5.1471586	0.025078898	4559.3331961631775
28	-15.505468	14.565977	-1.791748	-98.37781	-12.427905	8.529718	-3.066101	-30.562012	67.98895	52.2	111999	-5.308455	7.0995193	9.79135	-90.47459	5.095441	0.02566571	4798.136281013489
29	-14.719863	16.847286	-2.0343018	-124.54242	-13.242021	9.743282	-2.4146729	-30.151001	65.11475	51.0	115999	-5.212041	7.0619183	8.480865	-83.69275	5.0079746	0.023918282	5038.687911987305
30	-15.272407	15.740098	-1.796814	-110.32092	-12.7050905	7.309033	-4.6379395	-28.039612	64.047874	53.6	119999	-5.2320557	7.012911	4.9703174	-79.56262	5.039194	0.023766352	5281.443607091904
31	-16.904066	21.709547	-2.1055908	-172.0238	-11.358	7.143984	-3.0645752	-26.097473	70.58479	47.0	123999	-5.272048	7.0324416	4.773851	-75.96318	5.0796723	0.024070702	5526.066834449768
32	-15.976352	17.623343	-1.9324341	-111.01819	-20.320284	20.959028	-2.741333	-92.10089	70.73373	86.53333	127999	-5.263071	7.0475883	5.6634517	-73.585945	5.0735707	0.026247969	5771.758340358734
33	-16.165234	22.154396	-2.6396484	-194.82654	-12.945149	11.0730095	-2.0577393	-38.821045	68.21023	54.0	131999	-5.32059	7.031833	5.598793	-75.628876	5.1407385	0.02667567	6019.043292999268
