Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
30	-565.1499	60.453945	-469.38385	-620.8747	914.75	-55.762478	5.224859	-49.201168	-60.47981	124000	-0.06595569	82.195656	0.0	-4.58342	0.9181024	3.3974648e-09	269.26588582992554
31	-482.24176	90.88026	-389.33868	-613.8964	781.5	-57.45348	4.840975	-49.512943	-60.840843	128000	-0.046274554	100.68005	0.0	-2.5129929	0.91804874	-2.6822091e-09	277.9145140647888
32	-468.6844	64.33739	-395.9187	-562.7767	765.0	-56.638577	5.1686606	-49.19357	-60.670303	132000	-0.0019673633	142.09862	0.0	-31.290642	0.91797453	-7.629395e-09	286.49679923057556
33	-439.83432	75.75318	-369.85065	-570.695	708.6	-55.001465	6.98768	-40.424637	-59.707565	136000	-0.024528049	103.1607	0.0	-24.953941	0.9179126	-2.3245812e-09	295.1524987220764
34	-486.26578	81.66994	-390.84134	-598.9367	788.6	-50.111477	12.41471	-29.029648	-59.827583	140000	-0.037934005	134.54027	0.0	-20.028763	0.9178436	-4.8279762e-09	303.66109681129456
35	-440.35342	85.343376	-365.33365	-606.1244	712.0	-55.072773	8.951657	-35.595505	-60.425743	144000	0.0004213209	97.55087	0.0	-21.186874	0.9177624	4.708767e-09	312.28262424468994
36	-422.94418	97.04608	-356.58542	-614.3233	683.8	-55.351086	6.6986513	-36.39852	-60.298794	148000	-0.052998852	91.016426	0.0	-39.279457	0.91769207	2.503395e-09	321.0405149459839
37	-363.61258	25.739063	-317.35547	-393.89838	584.0	-50.6782	11.399169	-30.344904	-60.565533	152000	-0.03398877	71.47761	0.0	-61.97582	0.91760725	-1.847744e-09	329.71831583976746
38	-381.52747	45.616318	-316.41736	-469.59897	617.5	-48.50684	17.512589	-5.786166	-60.720547	156000	-0.006117289	120.74777	0.0	-63.799164	0.917513	-9.6559525e-09	338.4517605304718
39	-345.35178	16.168793	-315.95444	-372.6798	553.5714	-53.345608	10.230668	-20.859137	-61.376007	160000	-0.015985562	46.55694	0.0	-38.0485	0.91742796	-5.066395e-09	347.0861303806305
40	-368.98694	32.364	-320.10202	-420.61115	603.1667	-51.48172	13.321132	-12.003866	-61.521236	164000	-0.023787692	8.848501	0.0	-4.3511624	0.9173412	-3.2782554e-09	355.9785850048065
41	-358.46542	52.17465	-269.72266	-449.39813	579.6667	-47.859203	18.277029	0.2934215	-61.630424	168000	0.00018125366	123.868706	0.0	-67.458206	0.917253	-9.000301e-09	364.6488335132599
42	-374.2737	87.94076	-289.71576	-557.2242	609.1667	-49.59281	14.850732	-15.816188	-61.874763	172000	-0.018409472	113.11454	0.0	-29.90532	0.91717356	-3.5762787e-10	373.4167671203613
43	-323.5112	29.895496	-288.4652	-384.66162	520.2857	-52.081127	10.843141	-24.10466	-62.141026	176000	-0.004285945	37.7054	0.0	-29.809496	0.9170997	-5.722046e-09	382.17622447013855
44	-364.68832	42.71751	-317.67993	-427.55313	592.1667	-45.38086	17.734163	-12.671069	-62.260567	180000	0.025689177	156.44072	0.0	-106.5578	0.9170249	-7.7486035e-09	390.83105754852295
45	-312.51138	22.088629	-277.91693	-347.20886	504.0	-52.78507	10.346859	-21.01857	-62.605816	184000	0.041471556	53.32038	0.0	-46.56717	0.9169708	1.1742115e-08	399.7679772377014
46	-359.0609	111.08926	-283.43423	-604.46027	583.3333	-44.610226	19.19474	-5.757591	-62.399506	188000	-0.02199487	231.04845	0.0	-133.7254	0.9169388	3.8146974e-09	408.61860609054565
47	-334.49612	107.5207	-278.65808	-596.8498	544.1429	-48.921383	12.855694	-28.130684	-62.80086	192000	-0.024443343	125.724915	0.0	-9.530052	0.9168984	1.9073487e-09	417.4834270477295
48	-300.04538	39.847027	-252.9223	-394.5852	485.5	-51.357758	11.195714	-28.849577	-63.19895	196000	-0.030334244	71.73132	0.0	-19.916595	0.9168575	-7.092953e-09	426.20440649986267
49	-286.6419	13.169225	-259.99832	-303.33643	460.25	-49.854195	12.979891	-21.090199	-63.285316	200000	0.03224036	21.642233	0.0	-14.204985	0.9168076	-7.1525574e-10	435.1347620487213
